

BİRİM FİYAT TEKLİF CETVELİ
İhale Kayıt Numarası (İKN) :

A	B
Sıra No	İş Kalemi No	İş Kaleminin Adı ve Kısa Açıklaması	Birimi	Miktarı	Teklif Edilen Birim Fiyat	Tutarı
1	15.120.1101	Makine ile her derinlik ve her genişlikte yumuşak ve sert toprak kazılması (derin kazı)	metreküp	1.500		
2	15.125.1004	Çakıl temin edilerek, makine ile serme, sulama ve sıkıştırma yapılması	metreküp	165		
3	15.125.1005	Kum temin edilerek, drenaj yapılması	metreküp	130		
4	15.125.1006	Çakıl temin edilerek, drenaj yapılması	metreküp	130		
5	15.150.1003	Beton santralinde üretilen veya satın alınan ve beton pompasıyla basılan, C 16/20 basınç dayanım sınıfında, gri renkte, normal hazır beton dökülmesi (beton nakli dahil)	metreküp	80		
6	15.150.1006	Beton santralinde üretilen veya satın alınan ve beton pompasıyla basılan, C 30/37 basınç dayanım sınıfında, gri renkte, normal hazır beton dökülmesi (beton nakli dahil)	metreküp	800		
7	15.160.1003	Ø 8- Ø 12 mm nervürlü beton çelik çubuğu, çubukların kesilmesi, bükülmesi ve yerine konulması	ton	40		
8	15.160.1004	Ø 14- Ø 28 mm nervürlü beton çelik çubuğu, çubukların kesilmesi, bükülmesi ve yerine konulması.	ton	50		
9	15.180.1001	Ahşaptan seri kalıp yapılması	metrekare	200		
10	15.180.1003	Plywood ile düz yüzeyli betonarme kalıbı yapılması	metrekare	2.500		
11	15.185.1005	Çelik borudan kalıp iskelesi yapılması (0,00-4,00 m arası)	metreküp	4.500		
12	15.185.1013	Ön yapımlı bileşenlerden oluşan tam güvenlikli, dış cephe iş iskelesi yapılması. (0,00-51,50 m arası)	metrekare	830		
13	15.200.1002	Bodrum perdelerinde su yalıtımı ve izolasyon pimi ile uygulanmış ısı yalıtımı üzerine HDPE esaslı drenaj ve koruma levhası temini ve yerine döşenmesi (200<=basınç dayanımı<250 KN/m2)	metrekare	200		
14	15.204.1004	Ø 200 mm anma çaplı, PVC esaslı koruge drenaj borusunun temini ve yerine döşenmesi	metre	200		
15	15.210.1004	Ocak taşı ile blokaj yapılması	metreküp	20		
16	15.220.1012	100 mm kalınlığında yatay delikli tuğla (200 x 100 x 200 mm) ile duvar yapılması	metrekare	200		
17	15.220.1014	135 mm kalınlığında yatay delikli tuğla (190 x 135 x 190 mm) ile duvar yapılması	metrekare	1.200		
18	15.220.1016	200 mm kalınlığında yatay delikli tuğla (250 x 200 x 250 mm) ile duvar yapılması	metrekare	300		
19	15.245.1002	250 gr/m² ağırlıkta geotekstil keçe serilmesi	metrekare	30		
20	15.250.1011	200 kg çimento dozlu tesviye tabakası yapılması	metrekare	1.500		
21	15.255.1002	3 mm kalınlıkta plastomer esaslı (-10 °C soğukta bükülmeli) cam tülü taşıyıcılı ve 3 mm kalınlıkta plastomer esaslı (-10 °C soğukta bükülmeli) polyester keçe taşıyıcılı polimer bitümlü örtüler ile iki kat su yalıtımı yapılması	metrekare	1.000		
22	15.270.1002	Elastomerik reçine esaslı sıvı plastik kaplama malzemesi ile file takviyeli olarak, 2 kat halinde toplam 1 mm kalınlıkta su yalıtımı yapılması	metrekare	100		
23	15.275.1111	250/350 kg çimento dozlu kaba ve ince harçla sıva yapılması (dış cephe sıvası)	metrekare	700		
24	15.275.1115	350 kg çimento dozlu harçla tek kat ince sıva yapılması	metrekare	200		
25	15.275.1116	250 kg çimento dozlu harç ile kaba sıva yapılması	metrekare	1.500		
26	15.275.1117	200 kg Çimento ve Kireç karşımı harç ile kaba sıva yapılması (iç cephe)	metrekare	3.000		
27	15.275.9992	Metal kapı kasa arkalarının beton harcı ile doldurulması	metrekare	40		
28	15.280.1010	Perlitli sıva alçısı ve saten alçı harçlarının karışımı ile ortalama 5 mm kalınlıkta düzeltme sıvası yapılması (Kaba sıva, brüt beton yüzeyler, perlitli alçı yüzeyler vb. yüzeylere)	metrekare	3.000		
29	15.280.1011	Saten alçı kaplaması yapılması (ortalama 1 mm kalınlık)	metrekare	3.000		
30	15.300.1001	Ahşaptan oturtma çatı yapılması (çatı örtüsü altı tahta kaplamalı)	metrekare	600		
31	15.300.1006	Çatı üzerine osb/3 kaplama yapılması	metrekare	50		
32	15.305.1003	Yan ve üst kenarından kenetlenebilen kiremit ile çatı örtüsü yapılması (Sızdırmazlık Sınıfı: Grup 1) (150 donma-çözülme çevrimine dayanıklı) (2 Latalı sistem)	metrekare	600		
33	15.305.1005	Mahya kiremitleri ile mahya yapılması (Sızdırmazlık Sınıfı: Grup 1) (150 donma-çözülme çevrimine dayanıklı)	metre	100		
34	15.310.1201	14 nolu çinko levhadan eğimli çatı deresi yapılması ve yerine konulması	metre	25		
35	15.310.1205	12 nolu çinkodan sıva eteği baca kenarı yapılması	metre	50		
36	15.315.1003	Ø 125 mm çapında bir ucu muflu sert PVC yağmur borusu temini ve yerine tesbiti	metre	60		
37	15.315.1101	0.50 mm kalınlıkta, sıcak daldırma galvaniz üzeri boyalı düz sacdan eksiz oluk yapılması ve yerine montajı (Sac genişiliği toplam 30 cm)	metre	100		
38	15.330.1006	Eğimli çatılarda, çatı örtüsü altına, 3 mm kalınlıkta elastomer esaslı, cam tülü taşıyıcılı polimer bitümlü örtü (-20°C soğukta bükülmeli) ile su yalıtımı yapılması	metrekare	780		
39	15.341.1022	6 cm kalınlıkta yüzeye dik çekme mukavemeti en az 100 kPa (TR100) grafit/karbon esaslı ekspande polistren (EPS) levhalar ile dış duvarlarda dıştan ısı yalıtımı ve üzerine ısı yalıtım sıvası yapılması (Mantolama)	metrekare	700		
40	15.341.2081	6 cm kalınlıkta 0.030<Isıl iletkenlik katsayısı <= 0.035 W/(m.K) olan levhalar (XPS - 300 Kpa basınç dayanımlı) ile toprak temaslı temel perde ve duvarlarında su yalıtımı üzerine ısı yalıtımı yapılması	metrekare	100		
41	15.341.4005	Çatı arasına döşeme üzerine uygulamalar için, 0,035<=Isıl iletkenliği < 0,040W/(m.K) olan, 16 cm kalınlıkta kaplamasız camyünü şilte ve üzerine su buharı geçişine açık su yalıtım örtüsü serilmesi	metrekare	550		
